plant.h,block,treatment,position,source.pop,source pop number,source.fam,field.greenhouse,first.flower,rosette.diameter,height,leaf.length,SLA,branch.length,internode.number,internode.length,biomass,seeds.per.fruit ,fruits
608,17,ho,2,SHL,13,SHL12,G,105,28.00,8,16.088,35.7126,n/a,n/a,n/a,2.03,4.8,69
610,17,ho,4,SHL2,14,SHL21,F,113,27.00,13,19.205,38.6775,n/a,n/a,n/a,1.94,5,71
611,17,ho,5,SHL2,14,SHL218,F,113,28.00,11,15.804,35.5010,n/a,n/a,n/a,n/a,5,78
612,17,ho,6,MHL,5,MHL11,F,99,21.33,6,11.844,38.5171,n/a,n/a,n/a,n/a,5,62
613,18,c,1,SCH,11,SCH6,F,113,31.00,11,16.243,26.3496,70,11,n/a,3.89,n/a,104
614,18,c,2,ERH,1,ERH7,F,105,26.33,10,14.141,26.4053,n/a,n/a,n/a,2.44,n/a,77
615,18,c,3,NPH,8,NPH12,G,92,20.00,8,12.271,26.0974,n/a,n/a,n/a,1.98,n/a,69
616,18,c,4,ERH,1,ERH13,F,105,30.00,6,14.001,33.2895,n/a,n/a,n/a,2.77,n/a,86
617,18,c,5,SHH,12,SHH1,G,99,20.33,10,10.759,31.3729,67,9,7.44444444444444,2.23,n/a,77
618,18,c,6,SSH,15,SSH1,G,99,18.33,7,11.237,26.1919,66,9,n/a,2.27,n/a,75
619,18,c,1,SHL,13,SHL13,G,113,22.00,8,9.799,36.9467,87,10,n/a,2.27,n/a,62
620,18,c,2,SHL2,14,SHL217,F,99,20.00,10,10.711,34.2015,69,10,n/a,1.98,n/a,54
621,18,c,3,SHL2,14,SHL26,F,92,19.00,12,10.407,34.6842,65,9,7.22222222222222,2.06,n/a,84
622,18,c,4,SHL2,14,SHL216,F,121,28.67,9,14.402,44.9559,79,10,7.9,2.98,5,79
623,18,c,5,NBL,7,NBL17,F,99,20.00,7,n/a,n/a,67,10,n/a,2.27,n/a,64
624,18,c,6,ERL,2,ERL2,G,113,16.00,6,12.795,26.3918367346939,n/a,n/a,n/a,n/a,n/a,n/a
625,18,he,1,ERH,1,ERH7,F,105,34.00,9,17.918,32.4309,69,10,6.9,2.65,4.2,69
626,18,he,2,ERH,1,ERH13,F,113,30.00,17,12.982,43.4407,76,11,n/a,2.46,n/a,71
627,18,he,3,SSH,15,SSH1,G,105,23.67,14,16.891,38.4500,74,10,n/a,2.10,n/a,67
628,18,he,4,SHH,12,SHH1,G,113,22.67,17,17.278,34.0370,80,10,n/a,2.54,n/a,78
629,18,he,5,NPH,8,NPH12,G,105,21.33,25,16.33,41.0453,96,10,9.6,2.16,4.8,71
630,18,he,6,SCH,11,SCH6,F,113,31.00,12,19.961,25.2493,n/a,n/a,n/a,3.16,n/a,142
631,18,he,1,SHL2,14,SHL216,F,113,32.67,14,18.1,36.5187,64,9,7.11111111111111,2.25,4.8,56
632,18,he,2,SHL,13,SHL13,G,99,28.67,20,14.922,31.3333,75,11,n/a,2.68,n/a,82
633,18,he,3,SHL2,14,SHL217,F,121,30.67,15,13.652,34.0231,79,11,7.18181818181818,2.53,5,59
634,18,he,4,NBL,7,NBL17,F,105,25.00,13,10.702,39.1878,80,9,n/a,2.38,n/a,62
635,18,he,5,ERL,2,ERL2,G,113,27.33,17,17.704,31.6716,70,9,n/a,2.75,n/a,60
636,18,he,6,SHL2,14,SHL26,F,99,22.33,12,12.356,26.1843,61,10,n/a,2.80,n/a,115
637,18,ho,1,SHH,12,SHH1,G,105,24.67,15,15.793,36.8123,67,na,n/a,2.43,n/a,95
640,18,ho,4,SSH,15,SSH1,G,105,29.00,16,11.548,41.4470,80,11,7.27272727272727,2.32,5,98
641,18,ho,5,NPH,8,NPH12,G,99,24.33,21,12.401,37.1875,82,10,8.2,1.99,5,99
642,18,ho,6,SCH,11,SCH6,F,113,27.67,10,16.946,20.1218,46,9,n/a,3.16,n/a,111
643,18,ho,1,NBL,7,NBL17,F,105,21.00,13,11.447,37.8074,79,9,8.77777777777778,2.15,4.6,61
644,18,ho,2,SHL,13,SHL13,G,105,29.33,11,14.532,36.3275,82,10,8.2,2.33,5,75
645,18,ho,3,SHL2,14,SHL217,F,113,27.00,13,11.193,38.6021,84,10,8.4,2.73,5,107
646,18,ho,4,SHL2,14,SHL26,F,121,26.00,14,15.559,34.7494,62,11,n/a,2.29,n/a,81
647,18,ho,5,ERL,2,ERL2,G,113,31.33,14,16.641,27.8100,44,10,n/a,2.56,n/a,104
648,18,ho,6,SHL2,14,SHL216,F,105,22.33,10,11.791,31.3214,66,10,n/a,2.11,n/a,73
649,19,c,1,SHH,12,SHH3,G,99,23.00,10,11.726,38.5041,67,11,6.09090909090909,3.15,n/a,n/a
650,19,c,2,ILH,4,ILH5,G,99,20.67,6,9.787,42.1038,66,10,n/a,2.21,n/a,100
651,19,c,3,SCH,11,SCH17,G,113,27.00,7,16.699,29.0463,63,12,5.25,3.37,4.2,95
652,19,c,4,SCH,11,SCH16,G,113,29.00,9,8.631,55.3152,68,12,n/a,3.29,n/a,107
653,19,c,5,ERH,1,ERH18,F,105,26.67,6,16.453,33.2651,81,10,n/a,3.45,n/a,101
654,19,c,6,NPH,8,NPH11,G,99,18.00,4,11.597,28.8614,66,10,n/a,2.09,n/a,84
655,19,c,1,NBL,7,NBL11,F,105,19.67,6,11.346,36.9103,59,10,n/a,2.14,n/a,67
656,19,c,2,SHL,13,SHL18,G,99,19.00,4,12.7,28.7383,67,10,n/a,2.37,n/a,91
657,19,c,3,SHL,13,SHL14,G,99,19.33,4,10.204,35.5355,74,12,6.16666666666667,2.75,5,68
658,19,c,4,PWL,10,PWL5,G,99,21.33,4,11.979,34.2708,73,10,n/a,2.60,n/a,94
659,19,c,5,ERL,2,ERL3,G,105,22.33,5,14.947,31.0444,58,9,n/a,3.47,n/a,83
661,19,he,1,SCH,11,SCH16,G,121,36.67,15,27.164,50.0407,78,10,7.8,3.25,4.8,49
662,19,he,2,ILH,4,ILH5,G,113,27.67,15,17.729,47.3888,65,8,8.125,2.06,5,85
663,19,he,3,ERH,1,ERH18,F,121,31.67,7,19.177,50.3221153846154,82,8,10.25,3.33,4,48
664,19,he,4,NPH,8,NPH11,G,105,26.00,16,18.702,56.9298,92,10,9.2,2.55,5,85
665,19,he,5,SHH,12,SHH3,G,105,28.33,21,19.945,50.8732,70,8,8.75,2.01,5,67
666,19,he,6,SCH,11,SCH17,G,121,29.00,9,17.983,38.0612,65,8,8.125,3.25,4.4,75
667,19,he,1,SHL,13,SHL18,G,121,29.67,10,15.014,39.8995,82,8,10.25,2.46,5,78
668,19,he,2,MHL,5,MHL3,F,113,28.33,13,19.932,38.0605,65,9,7.22222222222222,2.27,5,68
669,19,he,3,PWL,10,PWL5,G,121,29.00,16,13.12,42.1268,71,8,8.875,2.67,4.8,89
670,19,he,4,NBL,7,NBL11,F,113,25.67,13,18.828,38.9939,78,8,9.75,2.29,5,75
671,19,he,5,SHL,13,SHL14,G,113,29.00,11,15.629,41.1925601750547,75,8,9.375,2.52,5,69
672,19,he,6,ERL,2,ERL3,G,113,27.00,8,13.232,29.6684,54,10,5.4,2.82,4.2,70
673,19,ho,1,ILH,4,ILH5,G,99,31.00,11,17.434,37.1474,n/a,n/a,n/a,n/a,5,61
675,19,ho,3,SHH,12,SHH3,G,113,22.67,19,19.82,43.8231,70,9,7.77777777777778,2.62,4.6,45
676,19,ho,4,NPH,8,NPH11,G,105,28.33,18,16.31,37.2075,73,10,7.3,2.40,4.8,84
677,19,ho,5,SCH,11,SCH17,G,113,30.67,11,21.426,36.4172,n/a,n/a,n/a,n/a,5,77
678,19,ho,6,ERH,1,ERH18,F,105,32.67,14,21.909,49.4476,n/a,n/a,n/a,n/a,4.8,58
679,19,ho,1,SHL,13,SHL14,G,121,24.67,12,13.681,43.3624,n/a,n/a,n/a,n/a,5,66
680,19,ho,2,NBL,7,NBL11,F,113,26.67,14,14.964,40.9183,n/a,n/a,n/a,n/a,5,48
681,19,ho,3,SHL,13,SHL18,G,121,30.33,13,18.178,32.0962,n/a,n/a,n/a,2.53,4,58
682,19,ho,4,MHL,5,MHL3,F,113,27.00,17,17.986,38.3064,n/a,n/a,n/a,2.22,4.8,71
683,19,ho,5,PWL,10,PWL5,G,105,25.00,14,19.205,33.2997,72,9,8,3.02,5,75
684,19,ho,6,ERL,2,ERL3,G,113,26.67,8,16.706,38.0121,n/a,n/a,n/a,2.82,n/a,46
685,20,c,1,ILH,4,ILH10,G,99,18.33,9,8.777,36.0386,64,9,7.11111111111111,2.79,4.4,56
686,20,c,2,ERH,1,ERH9,F,105,27.67,9,18.044,29.5577,67,8,8.375,3.99,3.4,42
687,20,c,3,NPH,8,NPH4,G,99,21.00,10,10.368,36.3754,72,8,9,3.26,5,52
688,20,c,4,SCH,11,SCH10,F,113,24.67,8,13.141,27.2080,62,10,6.2,4.14,3.8,47
689,20,c,5,NPH,8,NPH6,G,113,24.67,11,17.345,26.4059,69,8,8.625,3.33,5,43
690,20,c,6,ERH,1,ERH18,F,105,26.33,11,13.416,29.0450,64,9,7.11111111111111,4.24,3.8,24
691,20,c,1,MHL,5,MHL8,F,99,22.67,11,14.647,29.3384,85,9,9.44444444444444,3.57,n/a,n/a
